File created:	Thursday, July 17, 2025	2:22 PM
Flow Rate (nl/s)	Time Step (ms)	Voltage PID Set (V)	Frequency PID Set (Hz)
6.000000	1445.000000	0.000000	104.000000
14.000000	2157.000000	0.000000	104.000000
5.000000	3271.000000	0.000000	104.000000
5.000000	2172.000000	0.000000	104.000000
3.000000	1073.000000	0.000000	104.000000
2.000000	2157.000000	0.000000	104.000000
7.000000	2187.000000	0.000000	104.000000
11.000000	2167.000000	0.000000	104.000000
10.000000	2155.000000	0.000000	104.000000
13.000000	2204.000000	0.000000	104.000000
8.000000	6546.000000	0.000000	104.000000
2.000000	2152.000000	0.000000	104.000000
8.000000	2103.000000	0.000000	104.000000
0.000000	2121.000000	0.000000	104.000000
7.000000	772.000000	0.000000	104.000000
6.000000	2160.000000	0.000000	104.000000
7.000000	788.000000	0.000000	104.000000
-3.000000	1714.000000	0.000000	104.000000
5.000000	845.000000	0.000000	104.000000
15.000000	2110.000000	0.000000	104.000000
-1.000000	886.000000	0.000000	104.000000
15.000000	1634.000000	0.000000	104.000000
11.000000	840.000000	0.000000	104.000000
13.000000	1952.000000	0.000000	104.000000
6.000000	803.000000	0.000000	104.000000
4.000000	1783.000000	0.000000	104.000000
9.000000	935.000000	0.000000	104.000000
2.000000	1650.000000	0.000000	104.000000
2.000000	802.000000	0.000000	104.000000
2.000000	1716.000000	0.000000	104.000000
5.000000	939.000000	0.000000	104.000000
7.000000	1784.000000	0.000000	104.000000
9.000000	1034.000000	0.000000	104.000000
9.000000	1492.000000	0.000000	104.000000
8.000000	836.000000	0.000000	104.000000
7.000000	1693.000000	0.000000	104.000000
3.000000	1066.000000	0.000000	104.000000
7.000000	1435.000000	0.000000	104.000000
0.000000	1000.000000	0.000000	104.000000
0.000000	1662.000000	0.000000	104.000000
0.000000	767.000000	0.000000	104.000000
7.000000	2020.000000	0.000000	104.000000
7.000000	790.000000	0.000000	104.000000
6.000000	1713.000000	0.000000	104.000000
6.000000	775.000000	0.000000	104.000000
8.000000	1728.000000	0.000000	104.000000
9.000000	783.000000	0.000000	104.000000
3.000000	1720.000000	0.000000	104.000000
6.000000	796.000000	0.000000	104.000000
0.000000	1708.000000	0.000000	104.000000
3.000000	801.000000	0.000000	104.000000
5.000000	1703.000000	0.000000	104.000000
5.000000	761.000000	0.000000	104.000000
9.000000	1743.000000	0.000000	104.000000
13.000000	768.000000	0.000000	104.000000
8.000000	1734.000000	0.000000	104.000000
10.000000	779.000000	0.000000	104.000000
9.000000	1721.000000	0.000000	104.000000
9.000000	791.000000	0.000000	104.000000
-4.000000	1710.000000	0.000000	104.000000
0.000000	802.000000	0.000000	104.000000
5.000000	1700.000000	0.000000	104.000000
-1.000000	761.000000	0.000000	104.000000
9.000000	1742.000000	0.000000	104.000000
9.000000	779.000000	0.000000	104.000000
7.000000	1723.000000	0.000000	104.000000
6.000000	792.000000	0.000000	104.000000
4.000000	1710.000000	0.000000	104.000000
6.000000	803.000000	0.000000	104.000000
5.000000	1702.000000	0.000000	104.000000
7.000000	759.000000	0.000000	104.000000
4.000000	1746.000000	0.000000	104.000000
4.000000	768.000000	0.000000	104.000000
7.000000	1734.000000	0.000000	104.000000
11.000000	780.000000	0.000000	104.000000
2.000000	1726.000000	0.000000	104.000000
6.000000	782.000000	0.000000	104.000000
10.000000	1723.000000	0.000000	104.000000
