File created:	Tuesday, July 8, 2025	3:48 PM
Flow Rate (nl/s)	Time Step (ms)	Voltage PID Set (V)	Frequency PID Set (Hz)
5.000000	962.000000	150.000000	104.000000
6.000000	2123.000000	150.000000	104.000000
6.000000	1096.000000	150.000000	104.000000
9.000000	2153.000000	150.000000	104.000000
7.000000	2158.000000	150.000000	104.000000
8.000000	2200.000000	150.000000	104.000000
8.000000	1074.000000	150.000000	104.000000
8.000000	2159.000000	150.000000	104.000000
6.000000	2259.000000	150.000000	104.000000
6.000000	2117.000000	150.000000	104.000000
7.000000	2202.000000	150.000000	104.000000
6535.000000	2179.000000	150.000000	104.000000
5323.000000	2154.000000	150.000000	104.000000
4657.000000	2178.000000	150.000000	104.000000
4502.000000	2199.000000	150.000000	104.000000
4556.000000	1086.000000	150.000000	104.000000
4580.000000	2156.000000	150.000000	104.000000
4438.000000	2155.000000	150.000000	104.000000
4278.000000	2212.000000	150.000000	104.000000
4791.000000	1068.000000	150.000000	104.000000
4767.000000	2154.000000	150.000000	104.000000
4727.000000	2183.000000	150.000000	104.000000
4734.000000	1093.000000	150.000000	104.000000
4669.000000	2152.000000	150.000000	104.000000
4.000000	2156.000000	150.000000	104.000000
634.000000	1504.000000	150.000000	104.000000
4618.000000	769.000000	150.000000	104.000000
4633.000000	1735.000000	150.000000	104.000000
4243.000000	773.000000	150.000000	104.000000
4165.000000	1731.000000	150.000000	104.000000
4155.000000	778.000000	150.000000	104.000000
4208.000000	1722.000000	150.000000	104.000000
4280.000000	784.000000	150.000000	104.000000
4280.000000	1720.000000	150.000000	104.000000
4343.000000	789.000000	150.000000	104.000000
4331.000000	1713.000000	150.000000	104.000000
4401.000000	795.000000	150.000000	104.000000
4378.000000	1709.000000	150.000000	104.000000
4295.000000	899.000000	150.000000	104.000000
4295.000000	1602.000000	150.000000	104.000000
4357.000000	755.000000	150.000000	104.000000
4355.000000	1750.000000	150.000000	104.000000
4437.000000	755.000000	150.000000	104.000000
4390.000000	1745.000000	150.000000	104.000000
4351.000000	1068.000000	150.000000	104.000000
4351.000000	1435.000000	150.000000	104.000000
4318.000000	773.000000	150.000000	104.000000
4287.000000	1730.000000	150.000000	104.000000
4252.000000	779.000000	150.000000	104.000000
4258.000000	1726.000000	150.000000	104.000000
4239.000000	783.000000	150.000000	104.000000
4234.000000	1719.000000	150.000000	104.000000
4228.000000	791.000000	150.000000	104.000000
4228.000000	1710.000000	150.000000	104.000000
4296.000000	800.000000	150.000000	104.000000
4279.000000	1702.000000	150.000000	104.000000
4298.000000	759.000000	150.000000	104.000000
4306.000000	1251.000000	150.000000	104.000000
4360.000000	801.000000	150.000000	104.000000
4425.000000	1697.000000	150.000000	104.000000
4430.000000	762.000000	150.000000	104.000000
4447.000000	1742.000000	150.000000	104.000000
4505.000000	768.000000	150.000000	104.000000
4505.000000	1732.000000	150.000000	104.000000
4587.000000	775.000000	150.000000	104.000000
4587.000000	1729.000000	150.000000	104.000000
4601.000000	779.000000	150.000000	104.000000
4585.000000	1721.000000	150.000000	104.000000
4641.000000	890.000000	150.000000	104.000000
4641.000000	1613.000000	150.000000	104.000000
4587.000000	795.000000	150.000000	104.000000
4565.000000	1707.000000	150.000000	104.000000
4577.000000	800.000000	150.000000	104.000000
4561.000000	1705.000000	150.000000	104.000000
4487.000000	957.000000	150.000000	104.000000
0.000000	1545.000000	150.000000	104.000000
4487.000000	768.000000	150.000000	104.000000
4490.000000	1735.000000	150.000000	104.000000
4527.000000	772.000000	150.000000	104.000000
4525.000000	1731.000000	150.000000	104.000000
4561.000000	783.000000	150.000000	104.000000
4576.000000	1723.000000	150.000000	104.000000
4625.000000	785.000000	150.000000	104.000000
4600.000000	1714.000000	150.000000	104.000000
4600.000000	797.000000	150.000000	104.000000
4492.000000	1704.000000	150.000000	104.000000
4464.000000	760.000000	150.000000	104.000000
4463.000000	1744.000000	150.000000	104.000000
4436.000000	768.000000	150.000000	104.000000
4364.000000	1733.000000	150.000000	104.000000
4364.000000	773.000000	150.000000	104.000000
4379.000000	1732.000000	150.000000	104.000000
4400.000000	775.000000	150.000000	104.000000
4408.000000	1728.000000	150.000000	104.000000
4454.000000	775.000000	150.000000	104.000000
4466.000000	1725.000000	150.000000	104.000000
4466.000000	782.000000	150.000000	104.000000
4451.000000	1725.000000	150.000000	104.000000
4500.000000	794.000000	150.000000	104.000000
4501.000000	1707.000000	150.000000	104.000000
4462.000000	755.000000	150.000000	104.000000
4441.000000	1750.000000	150.000000	104.000000
4408.000000	760.000000	150.000000	104.000000
4406.000000	1741.000000	150.000000	104.000000
4406.000000	768.000000	150.000000	104.000000
