File created:	Monday, July 21, 2025	3:34 PM
Flow Rate (nl/s)	Time Step (ms)	Voltage PID Set (V)	Frequency PID Set (Hz)
1.000000	1606.000000	0.000000	104.000000
-3.000000	2153.000000	0.000000	104.000000
2.000000	2187.000000	0.000000	104.000000
-4.000000	1055.000000	0.000000	104.000000
2.000000	2155.000000	0.000000	104.000000
-2.000000	2224.000000	0.000000	104.000000
2.000000	1100.000000	0.000000	104.000000
-3.000000	2156.000000	0.000000	104.000000
3.000000	2101.000000	0.000000	104.000000
5.000000	2236.000000	0.000000	104.000000
0.000000	1113.000000	0.000000	104.000000
2.000000	2154.000000	0.000000	104.000000
-9.000000	2153.000000	0.000000	104.000000
-1.000000	2197.000000	0.000000	104.000000
0.000000	1087.000000	0.000000	104.000000
1.000000	2154.000000	0.000000	104.000000
1.000000	2157.000000	0.000000	104.000000
-1.000000	2210.000000	0.000000	104.000000
0.000000	1063.000000	0.000000	104.000000
0.000000	2154.000000	0.000000	104.000000
0.000000	2193.000000	0.000000	104.000000
-3.000000	1079.000000	0.000000	104.000000
-2.000000	2157.000000	0.000000	104.000000
0.000000	2156.000000	0.000000	104.000000
2.000000	1518.000000	0.000000	104.000000
-1.000000	798.000000	0.000000	104.000000
0.000000	1703.000000	0.000000	104.000000
0.000000	758.000000	0.000000	104.000000
0.000000	1747.000000	0.000000	104.000000
2.000000	768.000000	0.000000	104.000000
1.000000	1735.000000	0.000000	104.000000
-11.000000	777.000000	0.000000	104.000000
-11.000000	1727.000000	0.000000	104.000000
-1.000000	788.000000	0.000000	104.000000
-3.000000	1715.000000	0.000000	104.000000
0.000000	798.000000	0.000000	104.000000
1.000000	1704.000000	0.000000	104.000000
0.000000	962.000000	0.000000	104.000000
0.000000	1538.000000	0.000000	104.000000
986.000000	776.000000	0.000000	104.000000
-633.000000	1727.000000	0.000000	104.000000
-4604.000000	784.000000	0.000000	104.000000
2385.000000	1720.000000	0.000000	104.000000
591.000000	995.000000	0.000000	104.000000
591.000000	1508.000000	0.000000	104.000000
1900.000000	758.000000	0.000000	104.000000
2195.000000	1745.000000	0.000000	104.000000
184.000000	772.000000	0.000000	104.000000
25.000000	1728.000000	0.000000	104.000000
446.000000	784.000000	0.000000	104.000000
650.000000	1720.000000	0.000000	104.000000
-32.000000	790.000000	0.000000	104.000000
-32.000000	1712.000000	0.000000	104.000000
8.000000	797.000000	0.000000	104.000000
1076.000000	1706.000000	0.000000	104.000000
7309.000000	759.000000	0.000000	104.000000
4457.000000	1746.000000	0.000000	104.000000
4199.000000	868.000000	0.000000	104.000000
4199.000000	1633.000000	0.000000	104.000000
4199.000000	775.000000	0.000000	104.000000
4257.000000	1726.000000	0.000000	104.000000
4435.000000	781.000000	0.000000	104.000000
4529.000000	1724.000000	0.000000	104.000000
5098.000000	986.000000	0.000000	104.000000
5098.000000	1517.000000	0.000000	104.000000
5635.000000	792.000000	0.000000	104.000000
6237.000000	1711.000000	0.000000	104.000000
6791.000000	758.000000	0.000000	104.000000
7703.000000	1746.000000	0.000000	104.000000
6897.000000	768.000000	0.000000	104.000000
7244.000000	1732.000000	0.000000	104.000000
8000.000000	780.000000	0.000000	104.000000
8000.000000	1724.000000	0.000000	104.000000
7275.000000	789.000000	0.000000	104.000000
4764.000000	1712.000000	0.000000	104.000000
6548.000000	797.000000	0.000000	104.000000
6022.000000	1706.000000	0.000000	104.000000
6.000000	855.000000	0.000000	104.000000
349.000000	1647.000000	0.000000	104.000000
6349.000000	769.000000	0.000000	104.000000
7680.000000	1732.000000	0.000000	104.000000
6874.000000	781.000000	0.000000	104.000000
7360.000000	1722.000000	0.000000	104.000000
6688.000000	787.000000	0.000000	104.000000
6777.000000	1715.000000	0.000000	104.000000
6777.000000	803.000000	0.000000	104.000000
6982.000000	1696.000000	0.000000	104.000000
6174.000000	767.000000	0.000000	104.000000
7347.000000	1738.000000	0.000000	104.000000
6603.000000	770.000000	0.000000	104.000000
5792.000000	1735.000000	0.000000	104.000000
5989.000000	779.000000	0.000000	104.000000
7694.000000	1723.000000	0.000000	104.000000
7694.000000	789.000000	0.000000	104.000000
7418.000000	1716.000000	0.000000	104.000000
6384.000000	803.000000	0.000000	104.000000
6954.000000	1699.000000	0.000000	104.000000
7915.000000	763.000000	0.000000	104.000000
7855.000000	1736.000000	0.000000	104.000000
7855.000000	771.000000	0.000000	104.000000
6993.000000	1732.000000	0.000000	104.000000
7418.000000	778.000000	0.000000	104.000000
7856.000000	1725.000000	0.000000	104.000000
7244.000000	787.000000	0.000000	104.000000
6256.000000	1715.000000	0.000000	104.000000
6256.000000	799.000000	0.000000	104.000000
7476.000000	1703.000000	0.000000	104.000000
7626.000000	762.000000	0.000000	104.000000
7370.000000	1745.000000	0.000000	104.000000
7743.000000	769.000000	0.000000	104.000000
7679.000000	1738.000000	0.000000	104.000000
7429.000000	773.000000	0.000000	104.000000
6171.000000	1730.000000	0.000000	104.000000
6171.000000	775.000000	0.000000	104.000000
4990.000000	1726.000000	0.000000	104.000000
4455.000000	789.000000	0.000000	104.000000
3898.000000	1715.000000	0.000000	104.000000
3606.000000	798.000000	0.000000	104.000000
3241.000000	1707.000000	0.000000	104.000000
3241.000000	761.000000	0.000000	104.000000
3632.000000	1740.000000	0.000000	104.000000
3601.000000	767.000000	0.000000	104.000000
3708.000000	1740.000000	0.000000	104.000000
3688.000000	769.000000	0.000000	104.000000
3610.000000	1734.000000	0.000000	104.000000
3610.000000	779.000000	0.000000	104.000000
3497.000000	1724.000000	0.000000	104.000000
3493.000000	788.000000	0.000000	104.000000
3464.000000	1715.000000	0.000000	104.000000
3554.000000	801.000000	0.000000	104.000000
3509.000000	1706.000000	0.000000	104.000000
3470.000000	753.000000	0.000000	104.000000
3304.000000	1746.000000	0.000000	104.000000
3304.000000	764.000000	0.000000	104.000000
3129.000000	1738.000000	0.000000	104.000000
3124.000000	781.000000	0.000000	104.000000
3032.000000	1725.000000	0.000000	104.000000
3015.000000	790.000000	0.000000	104.000000
2907.000000	1710.000000	0.000000	104.000000
2907.000000	803.000000	0.000000	104.000000
4291.000000	1703.000000	0.000000	104.000000
4975.000000	756.000000	0.000000	104.000000
5890.000000	1749.000000	0.000000	104.000000
2842.000000	763.000000	0.000000	104.000000
2810.000000	1739.000000	0.000000	104.000000
2810.000000	777.000000	0.000000	104.000000
2814.000000	1724.000000	0.000000	104.000000
